0,1,ma1_5,ma1_7,ma1_10,ma1_20
2011-01-21,82.93,82.53000000000002,82.60428571428568,82.69099999999996,82.634
2011-01-22,82.54,82.46200000000002,82.5685714285714,82.63199999999996,82.7
2011-01-23,82.54,82.46800000000003,82.53285714285711,82.58499999999995,82.7645
2011-01-24,82.75,82.57600000000004,82.51428571428569,82.60599999999997,82.79650000000001
2011-01-25,82.42,82.63600000000004,82.50142857142853,82.56899999999996,82.82050000000001
2011-01-26,82.02,82.45400000000004,82.47428571428567,82.49199999999996,82.7595
2011-01-27,82.15,82.37600000000003,82.47857142857139,82.41899999999995,82.6945
2011-01-28,82.68,82.40400000000002,82.4428571428571,82.43599999999996,82.6675
2011-01-29,82.0,82.25400000000003,82.36571428571425,82.41499999999996,82.60650000000001
2011-01-30,82.0,82.17000000000003,82.28857142857139,82.40299999999996,82.5515
2011-01-31,82.04,82.17400000000004,82.18714285714282,82.31399999999996,82.50250000000001
2011-02-01,81.88,82.12000000000003,82.10999999999997,82.24799999999996,82.44000000000001
2011-02-02,81.47,81.87800000000003,82.03142857142855,82.14099999999998,82.36300000000001
2011-02-03,81.62,81.80200000000004,81.95571428571427,82.02799999999998,82.31700000000001
2011-02-04,81.57,81.71600000000004,81.79714285714282,81.94299999999997,82.256
2011-02-05,82.17,81.74200000000003,81.82142857142853,81.95799999999997,82.22500000000001
2011-02-06,82.17,81.80000000000004,81.84571428571424,81.95999999999997,82.18950000000002
2011-02-07,82.21,81.94800000000002,81.86999999999996,81.91299999999997,82.17450000000002
2011-02-08,82.27,82.07800000000002,81.92571428571424,81.93999999999997,82.17750000000002
2011-02-09,82.47,82.25800000000002,82.06857142857139,81.98699999999997,82.19500000000002
2011-02-10,82.53,82.33000000000003,82.19857142857138,82.03599999999997,82.17500000000003
2011-02-11,83.46,82.58800000000002,82.4685714285714,82.19399999999997,82.22100000000003
2011-02-12,83.48,82.84200000000003,82.65571428571425,82.39499999999997,82.26800000000003
2011-02-13,83.48,83.08400000000003,82.84285714285713,82.58099999999997,82.30450000000003
2011-02-14,83.21,83.23200000000004,82.98571428571427,82.74499999999998,82.34400000000002
2011-02-15,83.39,83.40400000000004,83.14571428571426,82.86699999999999,82.41250000000004
2011-02-16,83.71,83.45400000000004,83.32285714285713,83.02099999999999,82.49050000000003
2011-02-17,83.55,83.46800000000005,83.46857142857141,83.15499999999999,82.53400000000002
2011-02-18,83.27,83.42600000000003,83.44142857142855,83.25499999999998,82.59750000000003
2011-02-19,83.08,83.40000000000003,83.3842857142857,83.31599999999999,82.65150000000003
2011-02-20,83.08,83.33800000000004,83.32714285714283,83.371,82.70350000000002
2011-02-21,83.11,83.21800000000005,83.31285714285711,83.33599999999998,82.76500000000001
2011-02-22,83.33,83.17400000000004,83.3042857142857,83.321,82.858
2011-02-23,82.58,83.03600000000003,83.14285714285712,83.231,82.90599999999999
2011-02-24,82.13,82.84600000000003,82.93999999999998,83.12299999999999,82.934
2011-02-25,81.93,82.61600000000004,82.74857142857142,82.97699999999999,82.922
2011-02-26,81.68,82.33000000000004,82.54857142857144,82.77399999999997,82.89750000000001
2011-02-27,81.68,82.00000000000004,82.34857142857142,82.58699999999999,82.87100000000001
2011-02-28,81.67,81.81800000000005,82.14285714285712,82.42699999999999,82.84100000000001
2011-03-01,82.14,81.82000000000005,81.97285714285712,82.33299999999998,82.82450000000001
2011-03-02,81.91,81.81600000000005,81.87714285714283,82.21599999999998,82.79350000000002
2011-03-03,81.84,81.84800000000004,81.83571428571426,82.08899999999997,82.7125
2011-03-04,82.32,81.97600000000003,81.89142857142853,81.98799999999997,82.65450000000001
2011-03-05,82.32,82.10600000000002,81.9828571428571,81.96199999999997,82.5965
2011-03-06,82.32,82.14200000000002,82.07428571428565,81.98099999999998,82.55199999999999
2011-03-07,82.24,82.20800000000004,82.15571428571423,82.01199999999999,82.49449999999999
2011-03-08,82.22,82.28400000000003,82.1671428571428,82.06599999999999,82.41999999999999
2011-03-09,82.85,82.39000000000004,82.30142857142853,82.18299999999999,82.38499999999999
2011-03-10,82.82,82.49000000000004,82.44142857142852,82.29799999999999,82.36249999999998
2011-03-11,82.8,82.58600000000004,82.50999999999992,82.36399999999999,82.34849999999999
2011-03-12,81.65,82.46800000000005,82.41428571428563,82.338,82.277
2011-03-13,81.65,82.35400000000004,82.31857142857133,82.31899999999999,82.20400000000001
2011-03-14,82.11,82.20600000000005,82.29999999999991,82.29799999999997,82.143
2011-03-15,81.45,81.93200000000004,82.18999999999991,82.21099999999998,82.08650000000002
2011-03-16,80.82,81.53600000000003,81.8999999999999,82.06099999999999,82.021
2011-03-17,78.98,81.00200000000004,81.35142857142849,81.73499999999999,81.8735
2011-03-18,81.8,81.03200000000004,81.20857142857133,81.69299999999998,81.8795
2011-03-19,80.88,80.78600000000003,81.09857142857133,81.49599999999998,81.83949999999999
2011-03-20,80.88,80.67200000000004,80.98857142857135,81.30199999999998,81.79999999999998
2011-03-21,80.93,80.69400000000005,80.81999999999992,81.11499999999998,81.73949999999998
2011-03-22,80.96,81.09000000000003,80.74999999999991,81.04599999999999,81.69199999999998
2011-03-23,80.88,80.90600000000003,80.75857142857136,80.969,81.64399999999998
2011-03-24,80.96,80.92200000000003,81.0414285714285,80.854,81.57599999999998
2011-03-25,80.98,80.94200000000004,80.92428571428566,80.80699999999999,81.50899999999999
2011-03-26,81.4,81.03600000000003,80.99857142857137,80.86499999999998,81.463
2011-03-27,81.4,81.12400000000004,81.07285714285707,81.10699999999999,81.42099999999999
